##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
# IDL save file: http://aia.cfa.harvard.edu/filament/catalog_table.sav
###
# Column Headers:
#  ID = Catalog ID number
# Start = Start time (UT)
# _End = End time (UT)
# X = X coordinate (arcsec)
# Y = Y coordinate (arcsec)
# Rating = Arbitrary interest rating from 1 to 5. -1 indicates a duplicate event.
# Type = Active Region (AR), Intermediate (IP), Quescient (QS), or Polar Crown (PC)
# Eruption = Full (F), Partial (P), or Confined (C)
# Symmetry = Symmetric (S) or Asymmetric (A)
# Direction = Radial (R), Non-radial (NR), or Sideways (S)
# Twist = Yes (Y) or No (N) for apparent twist motions
# Writhe = Yes (Y) or No (N) for apparent writhing motions
# Threads = Yes (Y) or No (N) for vertical threads
# Cavity = Yes (Y), No (N), or During (D) for presence of a coronal cavity
# Flare = Flares within movie FOV. "?" indicates flares without location info.
# CME = Yes (Y), No (N), or a CME speed number
# Box = [x1,x2,y1,y2] HEK box coordinates (arcsec)
# AIA_FOV = [x1,x2,y1,y2] Catalog movie box coordinates (pixels)
# HEK_Link = IVO ID link for the HEK event
# Cat_Link = URL for catalog entry
##########################################################################################
ID	START	_END	X	Y	RATING	TYPE	ERUPTION	SYMMETRY	DIRECTION	TWIST	WRITHE	THREADS	CAVITY	FLARE	CME	BOX	AIA_FOV	HEK_LINK	CAT_LINK
0060	2010-07-20T01:34:12	2010-07-20T10:14:47	-758	-495	2.0	-	-	-	-	-	-	-	-	3?	-	[-623,-892,-325,-664]	[146,1425,864,1583]	ivo://helio-informatics.org/FE193_KarelSchrijver_20100720_145357	http://aia.cfa.harvard.edu/filament/index.html?search=0060
0061	2010-07-20T07:04:07	2010-07-20T08:34:54	-534	369	2.0	-	-	-	-	-	-	-	-	N	-	[-457,-610,330,408]	[519,1798,2304,3023]	ivo://helio-informatics.org/FE171_KarelSchrijver_20100720_144228	http://aia.cfa.harvard.edu/filament/index.html?search=0061
0062	2010-07-21T00:00:29	2010-07-21T10:52:12	-754	100	2.0	-	-	-	-	-	-	-	-	N	-	[-634,-874,231,-31]	[152,1431,1855,2574]	ivo://helio-informatics.org/FE193_WeiLiu_20100729_202902	http://aia.cfa.harvard.edu/filament/index.html?search=0062
0063	2010-07-26T06:46:29	2010-07-26T09:03:11	611	828	2.0	QS	C	S	R	N	N	N	D	N	N?	[477,744,1048,607]	[2106,4025,2888,3967]	ivo://helio-informatics.org/FE211_JuanMartinezSykora_20100727_230901	http://aia.cfa.harvard.edu/filament/index.html?search=0063
0064	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	ivo://helio-informatics.org/FE304_JuanMartinezSykora_20100729_202319	-
0065	2010-07-27T15:30:25	2010-07-27T20:24:05	-893	542	3.0	IP?	C?	A	NR	Y	N	N?	D?	N	N?	[-1044,-743,793,292]	[0,1919,2413,3492]	ivo://helio-informatics.org/FE304_JuanMartinezSykora_20100729_205720	http://aia.cfa.harvard.edu/filament/index.html?search=0065
0066	2010-07-28T00:00:31	2010-07-28T17:57:10	-776	-598	4.0	QS	F	A	R	Y	N	Y	Y	N	0227	[-340,-1212,-251,-945]	[0,1919,512,1591]	ivo://helio-informatics.org/FE304_KarelSchrijver_20100729_174021	http://aia.cfa.harvard.edu/filament/index.html?search=0066
0067	2010-07-29T00:00:29	2010-07-29T04:00:08	-961	569	4.0	IP	P	?	R	Y?	N	Y	D	N	Y	[-1189,-733,786,353]	[0,1279,2638,3357]	ivo://helio-informatics.org/FE171_KarelSchrijver_20100729_174617	http://aia.cfa.harvard.edu/filament/index.html?search=0067
0068	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	ivo://helio-informatics.org/FE304_KarelSchrijver_20100729_175020	-
0069	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	ivo://helio-informatics.org/FE304_TomBerger_20100730_214010	-
